IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
286.36,16842FL0070120,12077,Rating Area 38
266.81,16842FL0070120,12079,Rating Area 39
274.93,16842FL0070120,12081,Rating Area 40
262.9,16842FL0070120,12083,Rating Area 41
285.76,16842FL0070120,12085,Rating Area 42
349.23,16842FL0070120,12086,Rating Area 43
381.72,16842FL0070120,12087,Rating Area 44
313.44,16842FL0070120,12089,Rating Area 45
283.05,16842FL0070120,12091,Rating Area 46
305.31,16842FL0070120,12093,Rating Area 47
310.13,16842FL0070120,12095,Rating Area 48
309.83,16842FL0070120,12097,Rating Area 49
319.45,16842FL0070120,12099,Rating Area 50
299,16842FL0070120,12101,Rating Area 51
299.3,16842FL0070120,12103,Rating Area 52
341.41,16842FL0070120,12105,Rating Area 53
297.79,16842FL0070120,12107,Rating Area 54
320.05,16842FL0070120,12109,Rating Area 58
279.75,16842FL0070120,12111,Rating Area 59
286.66,16842FL0070120,12113,Rating Area 55
266.51,16842FL0070120,12115,Rating Area 56
320.96,16842FL0070120,12117,Rating Area 57
263.8,16842FL0070120,12119,Rating Area 60
271.32,16842FL0070120,12121,Rating Area 61
265.61,16842FL0070120,12123,Rating Area 62
268.01,16842FL0070120,12125,Rating Area 63
276.74,16842FL0070120,12127,Rating Area 64
295.09,16842FL0070120,12129,Rating Area 65
283.36,16842FL0070120,12131,Rating Area 66
267.11,16842FL0070120,12133,Rating Area 67
306.57,16842FL0070106,12001,Rating Area 1
347.24,16842FL0070106,12003,Rating Area 2
340.52,16842FL0070106,12005,Rating Area 3
279,16842FL0070106,12007,Rating Area 4
346.54,16842FL0070106,12009,Rating Area 5
398.51,16842FL0070106,12011,Rating Area 6
311.52,16842FL0070106,12013,Rating Area 7
314.35,16842FL0070106,12015,Rating Area 8
278.64,16842FL0070106,12017,Rating Area 9
348.65,16842FL0070106,12019,Rating Area 10
321.78,16842FL0070106,12021,Rating Area 11
323.19,16842FL0070106,12023,Rating Area 12
315.06,16842FL0070106,12029,Rating Area 14
348.3,16842FL0070106,12031,Rating Area 15
335.92,16842FL0070106,12033,Rating Area 16
358.91,16842FL0070106,12035,Rating Area 17
314,16842FL0070106,12037,Rating Area 18
355.02,16842FL0070106,12039,Rating Area 19
306.57,16842FL0070106,12041,Rating Area 20
329.91,16842FL0070106,12043,Rating Area 21
312.59,16842FL0070106,12045,Rating Area 22
302.69,16842FL0070106,12047,Rating Area 23
356.44,16842FL0070106,12049,Rating Area 24
333.81,16842FL0070106,12051,Rating Area 25
327.44,16842FL0070106,12053,Rating Area 26
346.18,16842FL0070106,12055,Rating Area 27
342.64,16842FL0070106,12057,Rating Area 28
295.26,16842FL0070106,12059,Rating Area 29
322.84,16842FL0070106,12061,Rating Area 30
297.39,16842FL0070106,12063,Rating Area 31
351.13,16842FL0070106,12065,Rating Area 32
328.49,16842FL0070106,12067,Rating Area 33
327.44,16842FL0070106,12069,Rating Area 34
362.44,16842FL0070106,12071,Rating Area 35
317.53,16842FL0070106,12073,Rating Area 36
306.57,16842FL0070106,12075,Rating Area 37
336.63,16842FL0070106,12077,Rating Area 38
313.65,16842FL0070106,12079,Rating Area 39
323.19,16842FL0070106,12081,Rating Area 40
309.05,16842FL0070106,12083,Rating Area 41
335.92,16842FL0070106,12085,Rating Area 42
410.53,16842FL0070106,12086,Rating Area 43
448.72,16842FL0070106,12087,Rating Area 44
368.45,16842FL0070106,12089,Rating Area 45
332.74,16842FL0070106,12091,Rating Area 46
358.91,16842FL0070106,12093,Rating Area 47
364.57,16842FL0070106,12095,Rating Area 48
364.21,16842FL0070106,12097,Rating Area 49
375.53,16842FL0070106,12099,Rating Area 50
351.48,16842FL0070106,12101,Rating Area 51
351.84,16842FL0070106,12103,Rating Area 52
401.34,16842FL0070106,12105,Rating Area 53
350.07,16842FL0070106,12107,Rating Area 54
376.23,16842FL0070106,12109,Rating Area 58
328.85,16842FL0070106,12111,Rating Area 59
336.98,16842FL0070106,12113,Rating Area 55
313.29,16842FL0070106,12115,Rating Area 56
377.3,16842FL0070106,12117,Rating Area 57
310.11,16842FL0070106,12119,Rating Area 60
318.95,16842FL0070106,12121,Rating Area 61
312.23,16842FL0070106,12123,Rating Area 62
315.06,16842FL0070106,12125,Rating Area 63
325.32,16842FL0070106,12127,Rating Area 64
346.88,16842FL0070106,12129,Rating Area 65
333.09,16842FL0070106,12131,Rating Area 66
314,16842FL0070106,12133,Rating Area 67
274.36,16842FL0070120,12001,Rating Area 1
310.75,16842FL0070120,12003,Rating Area 2
304.73,16842FL0070120,12005,Rating Area 3
249.67,16842FL0070120,12007,Rating Area 4
310.12,16842FL0070120,12009,Rating Area 5
356.63,16842FL0070120,12011,Rating Area 6
278.79,16842FL0070120,12013,Rating Area 7
281.31,16842FL0070120,12015,Rating Area 8
249.36,16842FL0070120,12017,Rating Area 9
312.01,16842FL0070120,12019,Rating Area 10
287.96,16842FL0070120,12021,Rating Area 11
289.23,16842FL0070120,12023,Rating Area 12
281.95,16842FL0070120,12029,Rating Area 14
311.7,16842FL0070120,12031,Rating Area 15
300.62,16842FL0070120,12033,Rating Area 16
321.19,16842FL0070120,12035,Rating Area 17
281,16842FL0070120,12037,Rating Area 18
317.7,16842FL0070120,12039,Rating Area 19
274.36,16842FL0070120,12041,Rating Area 20
295.24,16842FL0070120,12043,Rating Area 21
279.74,16842FL0070120,12045,Rating Area 22
270.88,16842FL0070120,12047,Rating Area 23
318.98,16842FL0070120,12049,Rating Area 24
298.73,16842FL0070120,12051,Rating Area 25
293.02,16842FL0070120,12053,Rating Area 26
309.79,16842FL0070120,12055,Rating Area 27
306.64,16842FL0070120,12057,Rating Area 28
264.23,16842FL0070120,12059,Rating Area 29
288.91,16842FL0070120,12061,Rating Area 30
266.12,16842FL0070120,12063,Rating Area 31
314.23,16842FL0070120,12065,Rating Area 32
293.97,16842FL0070120,12067,Rating Area 33
293.02,16842FL0070120,12069,Rating Area 34
324.35,16842FL0070120,12071,Rating Area 35
284.17,16842FL0070120,12073,Rating Area 36
274.36,16842FL0070120,12075,Rating Area 37
