BeginPrimaryCareCostSharingAfterNumberOfVisits,IsHSAEligible,IsNewPlan,IsReferralRequiredForSpecialist,NationalNetwork,OutOfServiceAreaCoverage,PlanType,StandardComponentId,StateCode
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230027,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230024,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230025,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230018,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230018,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020003,NV
0,,New,,Yes,Yes,PPO,75719NV0010007,NV
0,,New,,Yes,Yes,PPO,75719NV0010007,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020003,NV
0,,New,,Yes,Yes,PPO,75719NV0010008,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020004,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020004,NV
0,,New,,Yes,Yes,PPO,75719NV0010008,NV
0,,New,,Yes,Yes,PPO,75719NV0010010,NV
0,,New,,Yes,Yes,PPO,75719NV0010010,NV
0,,New,,Yes,Yes,PPO,75719NV0010009,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020005,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020005,NV
0,,New,,Yes,Yes,PPO,75719NV0010009,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020006,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030014,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030019,NV
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230008,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230001,OH
0,Yes,New,No,Yes,Yes,PPO,14650OH0230001,OH
0,,New,,Yes,Yes,PPO,75719NV0010011,NV
0,,New,,Yes,Yes,PPO,75719NV0010011,NV
0,,Existing,,Yes,Yes,PPO,75719NV0020006,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030047,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030046,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030046,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030046,NV
0,No,New,Yes,No,Yes,HMO,95865NV0030046,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030023,NV
0,No,Existing,Yes,No,Yes,HMO,95865NV0030023,NV
